Population,State
153738.0,01
26934.0,02
221355.0,04
99103.0,05
1212387.0,06
172140.0,08
98339.0,09
28248.0,10
16875.0,11
581789.0,12
347003.0,13
44517.0,15
64120.0,16
389011.0,17
222313.0,18
104975.0,19
100719.0,20
144568.0,21
150943.0,22
35101.0,23
190069.0,24
186186.0,25
301620.0,26
188078.0,27
91667.0,28
193892.0,29
32709.0,30
68231.0,31
96387.0,32
35533.0,33
283408.0,34
66116.0,35
564580.0,36
314816.0,37
26663.0,38
362111.0,39
134351.0,40
121532.0,41
370680.0,42
28327.0,44
153124.0,45
31225.0,46
212410.0,47
1038437.0,48
134775.0,49
16970.0,50
264873.0,51
240433.0,53
50305.0,54
176914.0,55
19419.0,56
77604.0,72
